ghi,dni,dhi,amb_temp,rel_hmd,wind_dir,wind_spd,press
0.392893401,0.779941577,0.203904555,0.240924092,0.762659123,0.694444444,0.5,0.463235294
0.273096447,0.344693281,0.297180043,0.240924092,0.701272984,0.666666667,0.5,0.460294118
0.236548223,0.268743914,0.305856833,0.240924092,0.736492221,0.694444444,0.596153846,0.460294118
0.030456853,0,0.065075922,0.422442244,0.995190948,0.777777778,0.25,0.494117647
0.014213198,0,0.030368764,0.422442244,0.97397454,0.805555556,0.288461538,0.492647059
0,0,0,0.422442244,0.991796322,0.805555556,0.288461538,0.498529412
0.037563452,0.003894839,0.080260304,0.290429043,0.736209335,0.777777778,0.384615385,0.792647059
0.099492386,0.034079844,0.195227766,0.290429043,0.713154173,0.805555556,0.615384615,0.825
0.150253807,0.049659202,0.284164859,0.273927393,0.800141443,0.805555556,0.692307692,0.845588235
0.262944162,0.274586173,0.327548807,0.257425743,0.750636492,0.777777778,0.730769231,0.866176471
0.441624365,0.888023369,0.1670282,0.240924092,0.71669024,0.833333333,0.673076923,0.877941176
0.395939086,0.868549172,0.154013015,0.224422442,0.728995757,0.833333333,0.692307692,0.889705882
0.295431472,0.804284323,0.132321041,0.207920792,0.691089109,0.777777778,0.730769231,0.902941176
0.156345178,0.656280428,0.093275488,0.207920792,0.653465347,0.805555556,0.5,0.914705882
0.017258883,0.239532619,0.023861171,0.191419142,0.693352192,0.833333333,0.596153846,0.926470588
0.095431472,0.499513145,0.075921909,0.04290429,0.570438472,0.722222222,0.115384615,0.930882353
0.23857868,0.70593963,0.130151844,0.075907591,0.444695898,1,0.019230769,0.923529412
0.130964467,0.016553067,0.268980477,0.125412541,0.5572843,0.333333333,0.076923077,0.911764706
0.182741117,0.054527751,0.342733189,0.158415842,0.607072136,0.416666667,0.173076923,0.886764706
0.168527919,0.028237585,0.334056399,0.174917492,0.611739745,0.333333333,0.096153846,0.860294118
0.149238579,0.024342746,0.299349241,0.191419142,0.641018388,0.472222222,0.134615385,0.836764706
0.110659898,0.015579357,0.225596529,0.207920792,0.740311174,0.416666667,0.173076923,0.813235294
0.05786802,0,0.123644252,0.207920792,0.796039604,0.277777778,0.153846154,0.794117647
0.006091371,0,0.013015184,0.191419142,0.717538897,0.194444444,0.153846154,0.783823529
0.098477157,0.539435248,0.071583514,0.224422442,0.677369165,1,0.25,0.775
0.243654822,0.743914314,0.117136659,0.240924092,0.691230552,0.027777778,0.307692308,0.786764706
0.359390863,0.830574489,0.145336226,0.257425743,0.613719943,1,0.365384615,0.795588235
0.426395939,0.865628043,0.160520607,0.273927393,0.657850071,0.055555556,0.096153846,0.795588235
0.437563452,0.864654333,0.1670282,0.273927393,0.704384724,0.805555556,0.057692308,0.786764706
0.244670051,0.266796495,0.30802603,0.273927393,0.733239038,0.638888889,0.173076923,0.777941176
0.183756345,0.249269718,0.232104121,0.273927393,0.744554455,0.694444444,0.288461538,0.775
